objectid,trail_name,surface_cat,use_cat,segment_length_miles,trail_width
44729,Sky Island Sewer Main Trail,Paved,Hiking/Walking,0.426329170500441,10
44730,Brookside Storm Pond Trail,Native/Dirt,Hiking/Walking,0.492322960997094,8
44731,Brookside Storm Pond Trail,Native/Dirt,Hiking/Walking,0.238166179052364,8
44732,Brookside Storm Pond Trail,Native/Dirt,Hiking/Walking,0.107404335308603,8
44733,Brookside Storm Pond Trail,Native/Dirt,Hiking/Walking,0.0322849587067804,8
44734,Brookside Storm Pond Trail,Native/Dirt,Hiking/Walking,0.0513311038236849,8
44735,Ball Field 4 Field Trail,Native/Dirt,Hiking/Walking,0.133015630002436,8
44736,PWC to Ball Field 4 Trail,Gravel/Crushed,Hiking/Walking,0.0392160067613835,10
44737,PWC to Ball Field 4 Trail,Gravel/Crushed,Hiking/Walking,0.0961085066119367,10
44738,Allan Yorke Park Ball Field Trail,Gravel/Crushed,Hiking/Walking,0.0853016779551871,10
44739,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0363864804062339,10
44740,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0181301324750973,10
44741,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.039321670249411,10
44742,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0285302117815268,10
44743,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0262963867008433,10
44744,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0548075060003036,10
44745,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0503553654653072,10
44746,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.035688214106842,10
44747,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0396093741983583,10
44748,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0465079124015858,10
44749,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0541412189870626,10
44750,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0679401557945446,10
44751,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.025489528107642,10
44752,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0398667844442007,10
44753,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0802503618108253,10
44754,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0307003383944894,10
44755,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.210082040331447,10
44756,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.102072594322296,10
44757,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0106626661145383,10
44758,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0178828552487362,10
44759,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0480281099251247,10
44760,Allan Yorke Park Ball Field Trail,Gravel/Crushed,Hiking/Walking,0.0222867916430729,10
44761,Allan Yorke Park Ball Field Trail,Gravel/Crushed,Hiking/Walking,0.134268746841123,10
44762,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.00938094090712655,10
44763,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.017455920585035,10
44764,Allan Yorke Park Forested Trail,Gravel/Crushed,Hiking/Walking,0.0353707677553557,10
